,Name,Cuisine Style,Rating Glovo,Number of Reviews
0,VICIO,['Burgers'],94%,500+
1,KFC,"['American', 'Chicken']",95%,43
2,Healthy Poke,"['Healthy', 'Poke']",97%,500+
3,Gonzalez & Co,"['American', 'Latin American']",97%,500+
4,Café & Desayuno,['Breakfast'],95%,500+
5,Señor Burrito,['Mexican'],96%,500+
6,Burger King,"['American', 'Burgers']",91%,500+
7,KOiKOI sushi,"['Asian', 'Japanese']",91%,500+
8,Surya,['Indian'],97%,500+
9,Pizza Bona,"['Italian', 'Pizza']",94%,54
10,La Güerita Mexicana,['Mexican'],80%,65
11,Tío Papelón,['Latin American'],87%,500+
12,Poke House,"['Healthy', 'Poke']",95%,500+
13,Fish & Chips,"['International', 'Mediterranean']",98%,246
14,La Gran Familia Mediterránea by Dani García,"['Burgers', 'Mediterranean']",92%,299
15,Bar Siscu (Comida Asiática),['Asian'],95%,241
16,Tiflis Restaurant,['International'],90%,398
17,Pollo Campero,['Chicken'],94%,500+
18,Bao's,['Japanese'],95%,500+
19,La Clote,['Pizza'],80%,500+
20,Luigi Ristorante,"['Italian', 'Pizza']",95%,30
21,Xiringuito Escribà,['Mediterranean'],89%,64
22,Hummus Barcelona,['Healthy'],89%,144
23,McDonald's®,"['American', 'Burgers']",92%,84
24,Doner Kebab Show,['Arabic'],97%,213
25,Patapollo,['Chicken'],94%,310
26,Confi Kebab - Kebab De Confianza,['Chicken'],94%,76
27,Foc i Oli,['Burgers'],96%,191
28,Boa Bao,"['Asian', 'Thai']",91%,500+
29,"Frankfurt’s Original “C.C. Finestrelles""","['American', 'Burgers']",94%,451
30,Restaurante Green's Aribau,['Mediterranean'],90%,100
31,Honest Greens,['Healthy'],95%,43
32,Los Pollos Llull,['Chicken'],96%,455
33,Made in Italy,"['Italian', 'Pizza']",90%,500+
34,SHN Doner Turco,['Arabic'],88%,316
35,Buen Bocado,"['Kebab', 'Mediterranean']",89%,67
36,A L'ast,['Chicken'],91%,500+
37,La Rostisseria del Barri,['Chicken'],97%,199
38,Chalito,"['Latin American', 'Milanese']",95%,400
39,Cada Día Pizza,['Pizza'],99%,53
40,Grande Pollo A L'Ast,"['Chicken', 'International']",New,145
41,Rostisseria Kikiriki,['Chicken'],97%,201
42,Piolindo Canyadó El De Siempre,"['Chicken', 'Homemade food']",93%,500+
43,XXL Pita House,"['Arabic', 'Chicken']",95%,127
44,Meridian Pollo A L'Ast,"['Chicken', 'Mediterranean']",New,362
45,Chalito,"['Latin American', 'Milanese']",95%,500+
46,Piolindo Canyadó El De Siempre,"['Chicken', 'Homemade food']",96%,362
47,Buen Bocado,"['Kebab', 'Mediterranean']",New,333
48,Libanés Vegano,"['International', 'Vegan']",New,318
49,Leña Al Pollo By Can Pollastre,"['Chicken', 'Homemade food']",92%,254
50,Ideal,['Spanish'],New,319
51,Grande Pollo A L'Ast,"['Chicken', 'International']",New,500+
52,Cada Día Pizza,['Pizza'],New,500+
53,Acai&Me Plaza De La LLana,['Healthy'],99%,500+
54,La Carioca,"['Burgers', 'Latin American']",95%,500+
55,Restaurante Casa Pepe,"['Mediterranean', 'Seafood']",96%,500+
56,Yoüme Sushi,"['Asian', 'Japanese']",96%,500+
57,Rostissería Los Pollos,"['Chicken', 'Homemade food']",92%,500+
58,Green & Berry,"['Healthy', 'Vegan']",95%,500+
59,Pollos Rikos,"['Chicken', 'Peruvian']",94%,500+
60,Frenchy  Tacos,['Arabic'],96%,500+
61,Out of China,['Asian'],97%,406
62,Poke Sí,"['Poke', 'Vegan']",90%,270
63,Pai Mei,['Asian'],98%,500+
64,A Pluma,['Chicken'],93%,123
65,Can Pizza,"['Italian', 'Pizza']",93%,500+
66,Takumi Ramen & Yakisoba,['Japanese'],94%,386
67,Oakberry Açaí Bowls,"['Breakfast', 'Healthy']",98%,500+
68,Bacoa,['Burgers'],90%,500+
69,La Tagliatella,['Italian'],90%,500+
70,Secrets By Farga,"['Healthy', 'Mediterranean']",95%,500+
71,El Clot,"['Mediterranean', 'Seafood']",96%,500+
72,BarcelonaMilano,['Mediterranean'],98%,500+
73,Deleito,['Burgers'],92%,500+
74,Restaurante Chino Pekín XXI,"['Asian', 'Seafood']",94%,500+
75,Palacio de China,['Asian'],95%,500+
76,Bar Delirium Tapas Y Bocadillos,"['Local food', 'Mediterranean']",98%,500+
77,Parking Pizza,['Pizza'],96%,500+
78,4 Pokes,['Poke'],95%,350
79,Wok Verdi,['Japanese'],96%,326
80,Goiko,"['American', 'Burgers']",92%,406
81,Faborit,['Healthy'],97%,500+
82,Shan Hai City,['Asian'],94%,500+
83,La Bendecida,"['Latin American', 'Venezolana']",96%,500+
84,Tlaxcal,['Mexican'],96%,500+
85,Dulzura Mía,"['Breakfast', 'Sweets']",97%,500+
86,Mayura,"['Asian', 'Indian']",95%,430
87,Grosso Napoletano,"['Italian', 'Pizza']",94%,500+
88,"Good Shit, Vegan Kebabs.","['Arabic', 'Sandwich']",98%,500+
89,Sannin,['Arabic'],95%,500+
90,Spice BCN,['International'],95%,431
91,Crep Nova,"['Italian', 'Pizza']",93%,500+
92,Central Café,['Healthy'],97%,500+
93,Messié Sin Gluten,"['Gluten free', 'Italian']",96%,500+
94,Restaurante Taberna del Cura,['Mediterranean'],95%,500+
95,Bristol Café,['Mediterranean'],96%,141
96,PIZZAMARKET,['Pizza'],95%,456
97,Pollo a la leña-CAN POLLASTRE,"['Chicken', 'Homemade food']",95%,500+
98,Poke Show,"['Poke', 'Sushi']",95%,500+
99,Costillas De Cordero,['Mediterranean'],New,500+
100,Le Romane,['Italian'],92%,500+
101,Zaatar & Co.,"['Arabic', 'International']",95%,500+
102,Aladdin,"['Arabic', 'International']",93%,203
103,La Mammy Chuli's,"['Chicken', 'International']",96%,188
104,The Dirty Vegans,"['Vegan', 'Vegetarian']",98%,500+
105,Grosso Napoletano Senza Glutine,"['Gluten free', 'Pizza']",95%,500+
106,Asian Noodles & Sushi,"['Asian', 'Japanese']",97%,236
107,Restaurante Mi Rincón,"['Latin American', 'Mediterranean']",97%,131
108,Gallinos Rostiseria,['Chicken'],96%,243
109,Costa Pacífico,['Mexican'],97%,500+
110,Hijoopo,['Asian'],New,500+
111,NAP,['Pizza'],96%,500+
112,Restaurante Chino Gran Lujo,['Asian'],95%,500+
113,Sandwich Club Barcelona,['Sandwich'],96%,500+
114,UDON,['Japanese'],94%,250
115,Cítrico,"['International', 'Mediterranean']",New,500+
116,Can Pizza,['Pizza'],97%,500+
117,La Güerita Mexicana,['Mexican'],94%,126
118,Sushi Day,"['Japanese', 'Sushi']",95%,500+
119,Taco Duram,"['Arabic', 'Chicken']",New,500+
120,Wynwood Café,['Healthy'],97%,332
121,KIKIRIKI,"['Chicken', 'Mediterranean']",95%,107
122,La Taquería,['Mexican'],96%,500+
123,Anauco,['Burgers'],96%,487
124,Keik,['Burgers'],97%,500+
125,Bar Restaurante La Dehesa,['Mediterranean'],89%,260
126,Five Guys,"['American', 'Burgers']",91%,500+
127,Little India,['Indian'],92%,500+
128,Restaurante vinyar,"['Asian', 'Homemade food']",96%,431
129,Oishii Ramen Street,['Asian'],97%,500+
130,La Pachuca,['Mexican'],97%,229
131,Flax & Kale Gluten Free,"['Gluten free', 'Healthy']",93%,265
132,Doña Jacinta,"['Latin American', 'Venezolana']",92%,265
133,Sabor De India,['Indian'],98%,279
134,Fish & Chips - Sin Gluten,"['Gluten free', 'Healthy']",96%,344
135,La Cantina by La Mechada Express,['Latin American'],94%,453
136,Poke Moana,"['Healthy', 'Poke']",95%,150
137,Sushi Show,"['Healthy', 'Sushi']",90%,90
138,Macchina Pasta Bar,['Italian'],96%,500+
139,Alo Beirut,"['Arabic', 'Healthy']",92%,466
140,Urban Poke,"['Healthy', 'Poke']",94%,273
141,DelaCrem,['Ice cream'],100%,46
142,Santamasa,['Mediterranean'],96%,181
143,Tequeños del Sur,['Latin American'],97%,94
144,Mian,['Asian'],98%,154
145,La Central Burger,"['American', 'Burgers']",94%,407
146,La Vietnamita,"['Asian', 'Healthy']",93%,279
147,XXL KEBAB,"['Arabic', 'Kebab']",97%,450
148,Panchito Amigó,['Mexican'],91%,327
149,Del Poble Pizzeria,['Pizza'],96%,500+
150,El Racó Pizzería Mediterránea,['Mediterranean'],94%,158
151,Bento & Go,['Japanese'],98%,63
152,La Malandrina,['Latin American'],93%,241
153,Kasarap Filipino Kitchen,['Asian'],98%,198
154,Il Mulino Pizza Bakery,['Pizza'],95%,354
155,Wok Asia Amb Gracia,['Japanese'],93%,500+
156,La Hamaca,['Sandwich'],87%,44
157,Gandhi,"['Asian', 'Indian']",96%,500+
158,4 Makis,['Japanese'],97%,500+
159,Piel De Gallina,"['American', 'Chicken']",96%,421
160,Restaurante Chino Futu,['Asian'],97%,403
161,Taco Alto,['Mexican'],92%,330
162,Rostisseria,['Chicken'],90%,63
163,Pollo Leña & Can Eusebio,['Chicken'],93%,401
164,Pollos Y Croquetas,['Mediterranean'],95%,50
165,Hideout Burger,"['American', 'Burgers']",90%,500+
166,Lalola,['Pizza'],94%,433
167,El Modernista,['Mediterranean'],91%,62
168,Suki Ramen,"['Asian', 'Japanese']",94%,432
169,American Bite,"['American', 'Chicken']",93%,27
170,Rostisseria Ca L’Arnes,"['Chicken', 'Paella']",96%,500+
171,Sushi Shop,"['Japanese', 'Poke']",93%,500+
172,Bella Venezia,['Pizza'],98%,207
173,Chickoa,['Chicken'],92%,319
174,Pai Mei,['Asian'],97%,500+
175,Gandhi Indien Food,"['Indian', 'International']",97%,340
176,Fu Lin,"['Asian', 'Japanese']",91%,500+
177,Mon Viet,['Asian'],95%,500+
178,Subway,"['American', 'Sandwich']",94%,500+
179,Chila,['Asian'],99%,198
180,Chickoa,['Chicken'],92%,319
181,Pai Mei,['Asian'],97%,500+
182,Gandhi Indien Food,"['Indian', 'International']",97%,340
183,Fu Lin,"['Asian', 'Japanese']",91%,500+
184,Mon Viet,['Asian'],95%,500+
185,Subway,"['American', 'Sandwich']",94%,500+
186,Chila,['Asian'],99%,198
187,TGB - The Good Burger,"['American', 'Burgers']",94%,500+
188,Ramen Shifu,"['Asian', 'International']",92%,500+
189,Chök,"['Snacks', 'Sweets']",95%,110
190,Chök Gluten Free,"['Gluten free', 'Sweets']",New,500+
191,Kebabish,"['Arabic', 'International']",96%,500+
192,Xurreria Jessy,"['Churros', 'Sweets']",96%,292
193,Bona Sort Sushi,"['Japanese', 'Poke']",98%,176
194,2254 Tapas,['Italian'],85%,97
195,El Limonero Peruano,"['Latin American', 'Peruvian']",88%,500+
196,Bendito Pecado,"['Latin American', 'Venezolana']",95%,475
197,Bellillo,"['Italian', 'Pizza']",96%,500+
198,La Caravana,"['Arabic', 'Pizza']",96%,253
199,A L'Ast Pollo Asado,"['American', 'Chicken']",93%,151
200,Machete Burritos,['Mexican'],94%,259
201,Deleit Sushi,"['Asian', 'Japanese']",97%,500+
202,Parking Pita,"['Arabic', 'Sandwich']",93%,500+
203,Manolo Bakes,"['Breakfast', 'Sweets']",97%,421
204,Maruko,['Japanese'],97%,500+
205,TEIKIT Sushi,"['Asian', 'Japanese']",96%,480
206,My Fucking Poke,"['Healthy', 'Poke']",94%,242
207,Roti - Indian Vegetarian Kitchen,"['Vegan', 'Vegetarian']",94%,500+
208,Sushi Way,"['Japanese', 'Sushi']",96%,476
209,M2 Gluten Free - Sin Gluten,"['Gluten free', 'Healthy']",94%,500+
210,Sushiyaki,"['Asian', 'Japanese']",97%,228
211,Pappa e Pizza,"['Italian', 'Pizza']",92%,57
212,Bar Restaurante Ámsterdam,['Burgers'],94%,352
213,Hai Tian,['Asian'],94%,209
214,Bowy,"['Healthy', 'Vegetarian']",98%,500+
215,Sports Bar Italian Food,"['Italian', 'Pizza']",94%,500+
216,GoXO,['International'],92%,135
217,Grill Restaurant,['Mediterranean'],97%,198
218,Koryo,['Asian'],98%,135
219,Pasteles BakerBand,"['Breakfast', 'Sweets']",94%,67
220,Crumbles,"['Sweets', 'Vegan']",93%,120
221,Santo Porcello,['Italian'],96%,241
222,ROYAL INDIAN by Taj,"['Indian', 'International']",95%,81
